Creation date of BOM:;26/08/2021 12:42:46;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Design name:;ADC418AI12;;;;;;;;;;;;;;;;;;;;
Destination name:;ADC418AI12_DDR8Gb;;;;;;;;;;;;;;;;;;;;
Schematic Doc No.:;A2.C775-6410.7_PCB_BA0_AA_SCMVA;;;;;;;;;;;;;;;;;;;;
Reference;CompID;ReusedComp;ECDM Nomenclature;Value;tolerance;ud_PosTolerance;ud_NegTolerance;Part Name;Part Number NPP;Part Number CSE;Part Number Global;packageName;Variation;VariationItem;Module name;Module reference;Module;Module mode;Module number;Function Code;Component Group
C14010; .cmp2101;;C CER,X7R,100nF,10%,50V,0603,-,SOFT TERMINATION,SMD SOLDERIN;100n;;10%;10%;A2C02916000;A2C0291600000;A2C0291600000;A2C0291600000;0603_m01a;;;;;;;;PS_PMIC_SUC_VR5510;
C14011; .cmp1868;;C CER,X7S,0.00001 F,10%,50 V,EC_1210,,SOFT TERMINATION,SMD S;10u;;10%;10%;AAA2093820000;AAA2093820000;AAA2093820000;AAA2093820000;1210_h2800_c01a;;;;;;;;PS_PMIC_SUC_VR5510;
C14012; .cmp2195;;C CER,X7S,0.00001 F,10%,50 V,EC_1210,,SOFT TERMINATION,SMD S;10u;;10%;10%;AAA2093820000;AAA2093820000;AAA2093820000;AAA2093820000;1210_h2800_c01a;;;;;;;;PS_PMIC_SUC_VR5510;
C14013; .cmp2129;;C CER,X7R,1nF,10%,100V,0603,Sn;1n;;10%;10%;A2C40002639;A2C4000263900;A2C4000263900;A2C4000263900;0603_m01a;;;;;;;;PS_PMIC_SUC_VR5510;
C14014; .cmp2132;;C CER,X7R,1nF,10%,50V,0402,-,STANDARD,SMD SOLDERING;1n;;10%;10%;A2C02317900;A2C0231790000;A2C0231790000;A2C0231790000;0402_06_m01a;;;;;;;;PS_PMIC_SUC_VR5510;
C14015; .cmp1914;;C CER,X7R,100nF,10%,16V,0402,-,STANDARD;100n;;10%;10%;A2C02317700;A2C0231770000;A2C0231770000;A2C0231770000;0402_06_m01a;;;;;;;;PS_PMIC_SUC_VR5510;
C14016; .cmp2007;;C CER,X7S,10uF,10%,50V,1210,-,STANDARD,SMD SOLDERING;10u;;10%;10%;A2C04286300;A2C0428630000;A2C0428630000;A2C0428630000;1210_h2700_c01a;;;;;;;;PS_PMIC_SUC_VR5510;
C14017; .cmp2327;;C CER,X7R,22uF,10%,16V,1210,-,SOFT TERMINATION,SMD SOLDERING;22u;;10%;10%;A2C03264000;A2C0326400000;A2C0326400000;A2C0326400000;1210_h2700_c01a;;;;;;;;PS_PMIC_SUC_VR5510;
C14018; .cmp1972;;C CER,X7R,1uF,10%,25V,0603,Sn,SOFT TERMINATION;1u;;10%;10%;A2C00277700;A2C0027770000;A2C0027770000;A2C0027770000;0603_m01a;;;;;;;;PS_PMIC_SUC_VR5510;
C14019; .cmp2151;;C CER,X7R,4.7uF,10%,16V,0805,-,STANDARD,SMD SOLDERING;4.7u;;10%;10%;A2C03169500;A2C0316950000;A2C0316950000;A2C0316950000;0805_145_m01a;;;;;;;;PS_PMIC_SUC_VR5510;
C14021; .cmp1896;;C CER,X7R,100nF,10%,50V,0603,-,SOFT TERMINATION,SMD SOLDERIN;100n;;10%;10%;A2C02916000;A2C0291600000;A2C0291600000;A2C0291600000;0603_m01a;;;;;;;;PS_PMIC_SUC_VR5510;
C14022; .cmp2117;;C CER,X7R,22uF,10%,16V,1210,-,STANDARD,SMD SOLDERING;22u;;10%;10%;A2C03730900;A2C0373090000;A2C0373090000;A2C0373090000;1210_h2700_c01a;;;;;;;;PS_PMIC_SUC_VR5510;
C14023; .cmp2113;;C CER,X7R,22uF,10%,16V,1210,-,STANDARD,SMD SOLDERING;22u;;10%;10%;A2C03730900;A2C0373090000;A2C0373090000;A2C0373090000;1210_h2700_c01a;;;;;;;;PS_PMIC_SUC_VR5510;
C14024; .cmp2167;;C CER,X7R,100nF,10%,16V,0402,-,STANDARD;100n;;10%;10%;A2C02317700;A2C0231770000;A2C0231770000;A2C0231770000;0402_06_m01a;;;;;;;;PS_PMIC_SUC_VR5510;
C14027; .cmp1883;;C CER,X7R,22uF,10%,16V,1210,-,STANDARD,SMD SOLDERING;22u;;10%;10%;A2C03730900;A2C0373090000;A2C0373090000;A2C0373090000;1210_h2700_c01a;;;;;;;;PS_PMIC_SUC_VR5510;
C14028; .cmp1955;;C CER,X7R,22uF,10%,16V,1210,-,STANDARD,SMD SOLDERING;22u;;10%;10%;A2C03730900;A2C0373090000;A2C0373090000;A2C0373090000;1210_h2700_c01a;;;;;;;;PS_PMIC_SUC_VR5510;
C14029; .cmp2182;;C CER,X7R,100nF,10%,16V,0402,-,STANDARD;100n;;10%;10%;A2C02317700;A2C0231770000;A2C0231770000;A2C0231770000;0402_06_m01a;;;;;;;;PS_PMIC_SUC_VR5510;
C14032; .cmp2288;;C CER,X7R,680pF,10%,50V,0402,-,STANDARD;680p;;10%;10%;A2C01578700;A2C0157870000;A2C0157870000;A2C0157870000;0402_06_m01a;;;;;;;;PS_PMIC_SUC_VR5510;
C14033; .cmp2289;;C CER,X7R,680pF,10%,50V,0402,-,STANDARD;680p;;10%;10%;A2C01578700;A2C0157870000;A2C0157870000;A2C0157870000;0402_06_m01a;;;;;;;;PS_PMIC_SUC_VR5510;
C14034; .cmp2035;;C CER,X7R,22uF,10%,16V,1210,-,STANDARD,SMD SOLDERING;22u;;10%;10%;A2C03730900;A2C0373090000;A2C0373090000;A2C0373090000;1210_h2700_c01a;;;;;;;;PS_PMIC_SUC_VR5510;
C14035; .cmp2326;;C ELEC,ALPOLY,68uF,20%,35V,SMD SOLDERING;68u;;20%;20%;A2C01086800;A2C0108680000;A2C0108680000;A2C0108680000;ecr6h8_m01a;;;;;;;;PS_PMIC_SUC_VR5510;
C14036; .cmp2059;;C CER,X7R,22uF,10%,16V,1210,-,STANDARD,SMD SOLDERING;22u;;10%;10%;A2C03730900;A2C0373090000;A2C0373090000;A2C0373090000;1210_h2700_c01a;;;;;;;;PS_PMIC_SUC_VR5510;
C14037; .cmp2083;;C CER,X7R,100nF,10%,16V,0402,-,STANDARD;100n;;10%;10%;A2C02317700;A2C0231770000;A2C0231770000;A2C0231770000;0402_06_m01a;;;;;;;;PS_PMIC_SUC_VR5510;
C14040; .cmp2187;;C CER,X7R,4.7uF,10%,16V,0805,-,SOFT TERMINATION,SMD SOLDERIN;4.7u;;10%;10%;A2C03733200;A2C0373320000;A2C0373320000;A2C0373320000;0805_145_m01a;;;;;;;;PS_PMIC_SUC_VR5510;
C14041; .cmp2183;;C CER,X7R,100nF,10%,16V,0402,-,SOFT TERMINATION;100n;;10%;10%;A2C01479600;A2C0147960000;A2C0147960000;A2C0147960000;0402_06_m01a;;;;;;;;PS_PMIC_SUC_VR5510;
C14042; .cmp2152;;C CER,X7R,4.7uF,10%,16V,0805,-,SOFT TERMINATION,SMD SOLDERIN;4.7u;;10%;10%;A2C03733200;A2C0373320000;A2C0373320000;A2C0373320000;0805_145_m01a;;;;;;;;PS_PMIC_SUC_VR5510;
C14043; .cmp1870;;C CER,X7R,100nF,10%,16V,0402,-,SOFT TERMINATION;100n;;10%;10%;A2C01479600;A2C0147960000;A2C0147960000;A2C0147960000;0402_06_m01a;;;;;;;;PS_PMIC_SUC_VR5510;
C14044; .cmp2329;;C CER,X7R,22uF,10%,16V,1210,-,SOFT TERMINATION,SMD SOLDERING;22u;;10%;10%;A2C03264000;A2C0326400000;A2C0326400000;A2C0326400000;1210_h2700_c01a;;;;;;;;PS_PMIC_SUC_VR5510;
C14045; .cmp2038;;C CER,X7R,100nF,10%,16V,0402,-,SOFT TERMINATION;100n;;10%;10%;A2C01479600;A2C0147960000;A2C0147960000;A2C0147960000;0402_06_m01a;;;;;;;;PS_PMIC_SUC_VR5510;
C14050; .cmp1923;;C CER,X7R,1nF,10%,50V,0402,-,STANDARD,SMD SOLDERING;1n;;10%;10%;A2C02317900;A2C0231790000;A2C0231790000;A2C0231790000;0402_06_m01a;;;;;;;;PS_PMIC_SUC_VR5510;
C14053; .cmp1976;;C CER,X7R,1nF,10%,50V,0402,-,STANDARD,SMD SOLDERING;1n;;10%;10%;A2C02317900;A2C0231790000;A2C0231790000;A2C0231790000;0402_06_m01a;;;;;;;;PS_PMIC_SUC_VR5510;
C14054; .cmp1962;;C CER,X7R,1nF,10%,50V,0402,-,STANDARD,SMD SOLDERING;1n;;10%;10%;A2C02317900;A2C0231790000;A2C0231790000;A2C0231790000;0402_06_m01a;;;;;;;;PS_PMIC_SUC_VR5510;
C14055; .cmp1881;;C CER,X7R,4.7uF,10%,16V,0805,-,SOFT TERMINATION,SMD SOLDERIN;4.7u;;10%;10%;A2C03733200;A2C0373320000;A2C0373320000;A2C0373320000;0805_145_m01a;;;;;;;;PS_PMIC_SUC_VR5510;
C14056; .cmp2159;;C CER,X7R,100nF,10%,16V,0402,-,SOFT TERMINATION;100n;;10%;10%;A2C01479600;A2C0147960000;A2C0147960000;A2C0147960000;0402_06_m01a;;;;;;;;PS_PMIC_SUC_VR5510;
